date,start_time (UTC),end_time (UTC),title,speakers,code,In S3?,youtube_url,, 
2020-07-24,14:00:00,17:30:00,Learn Julia via epidemic modelling,David P. Sanders,LSNEWV,Workshop,https://youtu.be/k0fr7XjH1_Y,, 
2020-07-24,14:00:00,17:30:00,Building and analyzing graphs at scale with LightGraphs,"Mathieu Besançon, James Fairbanks, Simon Schoelly",GQATHR,Workshop,https://youtu.be/K3z0kUOBy2Y,, 
2020-07-25,14:00:00,17:30:00,Building microservices and applications in Julia,Jacob Quinn,Y3H7FG,Workshop,https://youtu.be/uLhXgt_gKJc,,
2020-07-25,14:00:00,17:30:00,"BinaryBuilder.jl — The Subtle Art of Binaries that ""Just Work""","Elliot Saba, Mosè Giordano",9WMAVU,Workshop,https://youtu.be/3IyXsBwqll8,,
2020-07-26,14:00:00,17:30:00,Wrapping a C++ library using CxxWrap.jl,Bart Janssens,NNVQQF,Workshop,https://youtu.be/VoXmXtqLhdo,,
2020-07-26,14:00:00,17:30:00,Doing Scientific Machine Learning (SciML) With Julia,Chris Rackauckas,C9FGPP,Workshop,https://youtu.be/QwVO0Xh2Hbg,,
2020-07-27,14:00:00,17:30:00,A deep dive into DataFrames.jl indexing,Bogumił Kamiński,8SFYHK,Workshop,https://youtu.be/X7AJf0C4Czw,,
2020-07-27,14:00:00,17:30:00,Calculating with sets: Interval methods in Julia,David P. Sanders,QT3S9U,Workshop,https://youtu.be/LAuRCy9jUU8,,
2020-07-28,14:00:00,17:30:00,Make your Julia code faster and compatible with non-Julia code.,Huda Nassar,7MALUA,Workshop,https://youtu.be/S5R8zXJOsUQ,,
2020-07-28,14:00:00,17:30:00,MLJ: a machine learning toolbox for Julia,"Anthony Blaom, Thibaut Lienart",DMHZCC,Workshop,https://youtu.be/qSWbCn170HU,,
2020-07-29,12:30:00,12:40:00,"KernelFunctions.jl, machine learning kernels for Julia",Théo Galy-Fajou,YY9QEJ,Y,https://youtu.be/0fKGICZrk3w,,
2020-07-29,12:30:00,13:00:00,When compiler technology meets Market Risk Management,"Felipe Noronha Tavares, Lucas Processi",WGAHCK,Y,https://youtu.be/4vDub-yoX1E,,
2020-07-29,12:30:00,12:40:00,"Parallelization, Random Numbers and Reproducibility",Phillip Alday,8VUMUA,Y,https://youtu.be/qhfQKIDR7Ms,,
2020-07-29,12:40:00,12:50:00,Reproducible environments with Singularity,Steffen Ridderbusch,KCP9NT,Y,https://youtu.be/3Igtnx-z344,,
2020-07-29,12:40:00,12:50:00,Fast Gaussian processes for time series,Will Tebbutt,DSXCMZ,Y,https://youtu.be/dysmEpX1QoE,,
2020-07-29,12:50:00,13:00:00,DrWatson - The perfect sidekick to your scientific inquiries,George Datseris,L3FYJW,Y,https://youtu.be/jKATlEAu8eE,,
2020-07-29,12:50:00,13:00:00,"AugmentedGaussianProcesses.jl, a full Gaussian Process toolkit",Théo Galy-Fajou,CE7FZA,Y,https://youtu.be/MLDijVso6Vk,,
2020-07-29,13:00:00,13:10:00,Modeling non-Gaussian time series with ScoreDrivenModels.jl,Guilherme Bodin,AA8CQU,Y,https://youtu.be/Ya-YVZTvPMc,,
2020-07-29,13:00:00,13:30:00,Jusdl.jl - Julia Based System Description Language,Zekeriya SARI,FW7W9D,Y,https://youtu.be/VTn8j-HDzIQ,,
2020-07-29,13:00:00,13:30:00,Shippable apps and custom sysimages with PackageCompiler.jl,Kristoffer Carlsson,Z8TE39,Y,https://youtu.be/d7avhSuK2NA,,
2020-07-29,13:10:00,13:40:00,AutoMLPipeline: A ToolBox for Building ML Pipelines,"Dr. Paulito Palmes, PhD",AD7TQW,Y,https://youtu.be/6-hJnMO0oDs,,
2020-07-29,13:30:00,14:00:00,"Salsa.jl: A framework for on-demand, incremental computation",Nathan Daly,DBGWXK,Y,https://youtu.be/0uzrH2Ee494,,
2020-07-29,13:30:00,13:40:00,Project Binder and the Julia Community: How can we help each oth,Sarah Gibson,GVFYUF,Y,https://youtu.be/XCLGZY8HrAs,,
2020-07-29,13:40:00,13:50:00,EvoTrees for Flexible Gradient Boosting Trees,Jeremie Desgagne-Bouchard,AKY8V7,Y,https://youtu.be/HM965vLN7d0,,
2020-07-29,13:40:00,13:50:00,Dependency-Aware Jupyter Notebooks,Arnav Sood,87JCMX,Y,https://youtu.be/LYVdRTuxS_c,,
2020-07-29,13:50:00,14:00:00,Julia for scripting,Fredrik Ekre,N39HSX,Y,https://youtu.be/IuwxE3m0_QQ,,
2020-07-29,13:50:00,14:00:00,Generating automatically labelled ML datasets with Lattice.jl,Don March,ACJRET,Y,https://youtu.be/aje4cgvg77U,,
2020-07-29,14:20:00,15:05:00,Keynote: Karen Willcox,Karen Willcox,UCQCSN,Live,https://youtu.be/gfHMPIxEyv4,,
